"activitylabel" "subject" "tBodyAcc_X-mean()" "tBodyAcc_Y-mean()" "tBodyAcc_Z-mean()" "tBodyAcc_X-std()" "tBodyAcc_Y-std()" "tBodyAcc_Z-std()" "tGravityAcc_X-mean()" "tGravityAcc_Y-mean()" "tGravityAcc_Z-mean()" "tGravityAcc_X-std()" "tGravityAcc_Y-std()" "tGravityAcc_Z-std()" "tBodyAccJerk_X-mean()" "tBodyAccJerk_Y-mean()" "tBodyAccJerk_Z-mean()" "tBodyAccJerk_X-std()" "tBodyAccJerk_Y-std()" "tBodyAccJerk_Z-std()" "tBodyGyro_X-mean()" "tBodyGyro_Y-mean()" "tBodyGyro_Z-mean()" "tBodyGyro_X-std()" "tBodyGyro_Y-std()" "tBodyGyro_Z-std()" "tBodyGyroJerk_X-mean()" "tBodyGyroJerk_Y-mean()" "tBodyGyroJerk_Z-mean()" "tBodyGyroJerk_X-std()" "tBodyGyroJerk_Y-std()" "tBodyGyroJerk_Z-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc_X-mean()" "fBodyAcc_Y-mean()" "fBodyAcc_Z-mean()" "fBodyAcc_X-std()" "fBodyAcc_Y-std()" "fBodyAcc_Z-std()" "fBodyAccJerk_X-mean()" "fBodyAccJerk_Y-mean()" "fBodyAccJerk_Z-mean()" "fBodyAccJerk_X-std()" "fBodyAccJerk_Y-std()" "fBodyAccJerk_Z-std()" "fBodyGyro_X-mean()" "fBodyGyro_Y-mean()" "fBodyGyro_Z-mean()" "fBodyGyro_X-std()" "fBodyGyro_Y-std()" "fBodyGyro_Z-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 25 18.86638901 -1.56070383746 -7.459972211 -23.751217407 -8.1791568983 -24.02377513 63.79796615 -10.830878622 3.1274987155 -64.82058529 -63.28375016 -61.14411926 6.98685540108 -0.1034873928 -1.05798090404 -36.91065747 -29.41456773 -48.94175424 2.988836981 -7.68656364828 5.6590570234 -23.605975181 -29.96580399 -33.18464753 -7.7006995978 -2.54737050877 -3.62684864486 -34.07224512 -53.24749573 -43.0236276 -16.273097768 -23.828968341 -16.273097768 -23.828968341 -36.51137445 -36.40440683 -15.7327416219 -23.4492901197 -45.75141871 -48.43778553 -29.21431078 -15.222282598 -35.93028751 -21.8541843712 -8.4868914621 -21.667093673 -37.74095345 -31.97244376 -47.4943739 -38.81923 -29.161803706 -50.31415583 -20.683701267 -39.9074491 -32.7836799 -24.942202939 -25.32344522 -36.46142012 -25.583557156 -29.6108638 -35.44800694 -37.97664684 -32.33669836 -25.427669242 -48.62804744 -49.53717004
"LAYING" 26 107.0303396981 -6.338141276569 -42.194054812 -244.255604218 -229.6991198279 -276.35240596 241.12842559 42.612274848 91.7699481052 -379.38461678 -376.207716393 -374.61219851 31.7027358446 3.00942311447 -2.841576419574 -267.6637359733 -265.927540177801 -305.11298865 -8.0986933852 -32.43467038744 35.97984912655 -300.536196373 -313.86478465 -275.712104603 -38.73452459648 -15.86674891323 -21.884683539478 -287.0699773108 -327.75597273 -303.05579773 -235.5654475569 -243.179469157 -235.5654475569 -243.179469157 -272.40780081 -265.5511238658 -272.282283871 -294.7188065643 -312.94375935 -320.76541226 -255.2273983299 -239.2869266302 -283.826066165 -240.491842289 -235.3077254519 -281.6482665 -274.1699619719 -273.1167777738 -301.66959417 -272.1712914196 -266.7003599904 -308.13125698 -275.618947939 -313.34640554 -270.246699951 -308.662015435 -315.02505225 -288.4894147 -247.6487372821 -264.1757774223 -266.277102866 -265.7860972586 -302.03791485 -306.788733766 -322.9551965 -323.0046321
"LAYING" 27 104.25147722 -6.3156425062649 -41.6789609555 -248.527008042 -237.0531437356 -256.88896253 235.83851003 12.123137566 53.0794297143339 -366.4571852 -365.66194572 -360.6593483 28.8888469128 2.322608373039 -1.86120228398 -263.4067903584 -253.72190234685 -294.64566087 -22.89417386489 -20.76189075894 40.9641057096 -299.240937439 -301.57031834 -253.472320551 -33.579283079797 -16.93558473849 -22.0431758194 -308.72451302 -314.83239952 -294.3875414 -236.1083492691 -254.880681164 -236.1083492691 -254.880681164 -263.8796004475 -261.6972612104 -260.9500234471 -283.7722032218 -309.47344109 -314.7920427161 -256.2270032416 -241.1167080015 -269.021554438 -246.151931491 -244.214509716 -260.241168002 -268.6725590655 -261.1356315859 -288.983994047 -268.034591655 -254.0800426885 -299.78608149 -288.958147446 -299.0831665569 -264.248480931 -303.164442272 -304.1057353 -262.127384449 -250.861862284 -276.3160294147 -258.9033694329 -266.0317937346 -295.5185574 -292.456717481 -314.932335935 -318.945768143
"LAYING" 28 106.01743592 -7.32375908681 -41.9095535258 -247.9334294796 -219.1350242466 -261.98378054 238.27933594 -56.374702492 -17.9513650041 -372.01961132 -366.85966923 -361.45819343 30.837448983 5.28017347606 0.314847580074 -260.0708430998 -248.918782297 -305.93256228 -24.63760744057 -18.010307682459 38.5209874679 -282.7856580956 -283.171076355 -255.8596512239 -33.6623576548 -17.11255316193 -23.21340302299 -275.236988344 -315.1648152 -294.04678479 -233.0318047555 -242.8837085291 -233.0318047555 -242.8837085291 -263.362026124 -262.7027116457 -247.7417610264 -271.5855009757 -301.510668326 -307.79206231 -249.887790332 -223.4442150435 -273.181369233 -247.46234772 -227.33220053928 -265.78310078 -262.3284912407 -256.2143126441 -297.601577177 -268.956032081 -250.1549596337 -313.89531887 -257.6042426 -285.37994083 -257.2823047923 -291.0958336 -282.99303121 -267.5112700606 -240.1875605088 -266.2517078731 -258.0137712187 -269.850846809 -281.8808911704 -284.125722049 -308.22898197 -312.6473302
"LAYING" 29 96.014363549 -6.35435184862 -37.3844106207 -197.5576160055 -205.84969481901 -208.6226816707 234.97526321 39.7284767216 71.62608729504 -334.80931273 -331.83724739 -323.91789584 27.12035197014 3.09655469616 -1.222199466089 -214.46900649043 -218.61192426798 -273.04889844 -3.503017733905 -30.3711853976 30.32794356919 -252.7365501499 -218.291795657 -245.56941689 -34.64346662259 -15.97267781575 -18.1583836669 -253.224476464 -293.65202692 -264.95613212 -190.4334441117 -199.1991223343 -190.4334441117 -199.1991223343 -228.6010928068 -213.4423851528 -207.16677383292 -224.8839117477 -275.98910379 -289.01378928 -199.48594406403 -202.1640900023 -234.10840036 -197.0390544689 -217.05672262903 -207.2775182632 -216.6772934843 -220.6034420705 -264.34127134 -224.1380810039 -225.5009841295 -281.4927166 -235.8971102394 -253.17447177 -237.092147055 -258.8833341075 -202.5671476949 -257.71213127 -202.7171410686 -219.9240765629 -209.79869848937 -218.9334578683 -248.3743416346 -230.98028758273 -289.11967247 -292.90307474
"LAYING" 30 105.8251354645 -6.73528776213 -40.5572324377 -235.886170804 -198.7951495563 -200.17237385472 266.89669086 19.636340637742 70.603437307298 -373.16422241 -364.72641613 -355.97269907 28.1428120467 2.79757852803 -0.250432934013 -260.0597783395 -253.0751221455 -299.36983776 -13.56698143651 -27.479577927 31.96305767038 -256.995239065 -206.4334242899 -225.887058357 -35.495252902 -15.81421476134 -18.90320161262 -298.98375252 -305.99711198 -292.31653347 -206.10424737209 -225.2645567557 -206.10424737209 -225.2645567557 -266.9701986406 -252.3863327198 -195.34254481961 -219.757521181 -300.9885667 -310.38263112 -243.4539979984 -213.9016738373 -243.189123463 -233.33850310772 -203.4961313751 -194.01644836794 -262.4728763533 -257.2510158108 -289.3305375 -268.819736883 -257.61423478 -309.15183238 -255.6211846533 -241.25578506261 -235.812850219 -259.21516434567 -190.0868914152 -237.557048529 -229.9425016787 -247.61823658265 -251.3781141978 -254.54190051598 -256.45699554563 -225.6607849844 -310.72496332 -315.13455198
"SITTING" 8 47.534629511 -3.64207048886 -18.8100331332 -89.9832151129 -43.495927348 -65.0158159406 119.58863819 -9.31069024136 5.93248741288 -168.794912286 -169.03155918 -162.193378942 16.42656865152 -0.176728057288 -4.64544140022 -87.770134438 -68.1797098602 -104.9759013362 4.4281672901 -18.5706594174 9.6648375634 -111.7842618922 -87.8933763468 -68.1512338796 -18.8809697163 -7.73724818072 -10.1907263151 -116.4041796245 -111.2774035712 -113.705110028 -64.5550494393 -85.5896640548 -64.5550494393 -85.5896640548 -79.33882466318 -87.4077192564 -68.75206497146 -92.1530721423 -110.982628816 -119.312332997 -90.2957580419 -49.020993449 -78.2722536463 -90.3508359865 -49.536667854 -67.3844939029 -91.2801916418 -74.4334291116 -99.7404605403 -92.5032214195 -69.2505517712 -110.103283499 -100.942656368 -87.7686214619 -72.644230714 -115.571775732 -89.058997102 -77.4519200614 -76.4529277718 -106.2977429034 -79.1366086317 -100.027095141 -98.3564843706 -103.5019486425 -116.3531599431 -127.81558511
"SITTING" 11 87.400958401 -6.04421200909 -34.425596679 -186.2745733034 -154.959873651 -210.242483296 230.84627444 16.6654301042 44.306316154 -308.22464863 -302.45585155 -302.35259213 26.2322514848 2.46619843724 -2.07746292182 -208.3460942454 -192.3758156435 -266.23373387 -17.29557871261 -18.3999143577 27.5817786596245 -233.8153920147 -222.30655821 -229.10505878 -25.452956592 -15.607684469 -15.17242928565 -247.02925243 -274.40721229 -251.37511886 -171.5327103691 -193.6707976084 -171.5327103691 -193.6707976084 -214.822963437 -209.900396277 -198.564240937 -220.1797557507 -261.277973 -273.94198399 -195.7695929506 -167.93986394936 -237.00826207 -183.1193945008 -158.8121959169 -206.0622320703 -213.8286639446 -199.8304015995 -260.87683051 -212.4138236135 -192.5846194463 -271.21004327 -224.343988949 -245.48550659 -223.99438145 -237.555615585 -212.0020973291 -238.88355856 -193.2428714975 -213.132570247 -207.3381775548 -213.908323971 -239.39715691 -224.7604414196 -273.2853356 -277.84426929
"SITTING" 14 87.269624511 -5.25030616589 -32.61845722854 -197.5697711838 -121.03803716124 -94.81429683987 217.082235637 -36.0795485763 -52.061052238 -304.02236586 -304.387869616 -295.84469431 23.95876620558 1.433095197932 -0.817334356691 -207.35443615846 -189.4264581559 -212.16435431098 0.0819358487300001 -30.8439533008 19.596812038 -235.357625527 -128.86387417345 -117.7264561782 -34.740629041027 -13.992375805689 -14.55741093169 -253.97222961 -225.426716662 -206.1705979268 -146.4038263672 -153.1209321311 -146.4038263672 -153.1209321311 -196.6984147601 -195.46159916389 -134.51650787709 -152.290208818 -226.2682635731 -234.828432031 -200.1027868081 -147.0417502913 -142.330167167 -196.83825883755 -121.7160865777 -88.82943226139 -211.3663580339 -193.379948642 -199.8440283865 -213.6516952959 -194.4973388549 -224.2992738591 -225.830747442 -162.99651397085 -136.9255832462 -239.036863783 -112.68313252057 -131.6780873862 -158.552360082 -177.0911876389 -192.79750775805 -200.0064916862 -175.3988608623 -166.96855018132 -231.78160288236 -245.660908412
"SITTING" 15 91.253997578 -5.40035100499 -36.920856731 -182.5455047733 -157.99088844957 -231.471772629 225.950183776 33.672641335 12.23104461763 -317.74455475 -313.68919403 -310.69473904 25.4822350908 1.605205932877 -1.446457663455 -204.690296548 -194.93455839879 -270.869249157 -9.22594400403 -24.88826133052 29.7383993248 -228.569907159 -232.4795346948 -236.75925191 -31.5178515601 -14.47367863797 -18.2251709857 -239.89352922 -280.0977622 -260.96539307 -172.94959545616 -182.74450272974 -172.94959545616 -182.74450272974 -214.77429988047 -205.2166035073 -202.6127437731 -221.5105228957 -264.1327156 -274.57538561 -191.477320122 -166.53714749531 -243.292597701 -179.4654805856 -164.51444675655 -233.349479637 -211.0580023506 -199.8858428199 -264.218256713 -209.15089087045 -198.72040150023 -277.19642793 -217.9082526649 -249.51334281 -233.271809094 -232.662263162 -224.5175533242 -246.55646092 -184.64707232135 -204.559042769 -201.6601744813 -210.9371827988 -240.22539398 -228.073763416 -274.47102124 -278.68010414
